name,asset_id,scale,start_date,end_date,relative_date,bands,new_bandnames,bands_to_scale,scaling_factor,units
prism,OREGONSTATE/PRISM/AN81d,500,10/1/03,10/1/2020,,ppt,,,,mm
pml,projects/pml_evapotranspiration/PML/OUTPUT/PML_V2_8day_v016,500,10/1/03,10/1/2020,,"Es, Ec, Ei",,"Es, Ec, Ei",0.01,mm
modis_snow,MODIS/006/MOD10A1,500,10/1/03,10/1/2020,,NDSI_Snow_Cover,snow,,,mm
