# t mom[0] mom[1] mom[2] mom[3] mom[4] mom[5]
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.939393939393939392e-01 0.000000000000000000e+00 1.880624426078971734e-01 0.000000000000000000e+00
1.999999999999999909e-06 1.000000000000000222e+00 0.000000000000000000e+00 1.939394084970738064e-01 5.551115123125782702e-17 1.880624807070369053e-01 1.665334536937734811e-16
6.000000000000000152e-06 1.000000000000000666e+00 -4.510281037539698445e-17 1.939394666808615386e-01 4.163336342344337027e-17 1.880626328962344274e-01 1.665334536937734811e-16
1.399999999999999979e-05 1.000000000000001332e+00 -3.642919299551294898e-17 1.939396990884641458e-01 6.938893903907228378e-18 1.880632401678013488e-01 6.938893903907228378e-17
2.999999999999999737e-05 1.000000000000001776e+00 -1.821459649775647449e-17 1.939406262060581199e-01 1.040834085586084257e-17 1.880656577890817693e-01 2.081668171172168513e-17
5.038069255064668822e-05 1.000000000000002220e+00 1.301042606982605321e-18 1.939443149751940154e-01 1.908195823574487804e-17 1.880752384841225533e-01 -1.734723475976807094e-17
7.250077596309430336e-05 1.000000000000002665e+00 -5.139118297581291017e-17 1.939502361109217698e-01 1.647987302177966740e-17 1.880905396342223423e-01 3.295974604355933479e-17
9.524321048872885971e-05 1.000000000000003331e+00 -3.263448539181368346e-17 1.939571113118259971e-01 2.905661822261151883e-17 1.881082047147785430e-01 7.892991815694472280e-17
1.181996448493895956e-04 1.000000000000003553e+00 -1.978668964786045592e-17 1.939642612029576774e-01 7.003946034256358644e-17 1.881264623072724240e-01 1.574261554448952438e-16
1.412277988607308569e-04 1.000000000000003775e+00 5.149960319306146062e-19 1.939714222002448252e-01 1.876753960572408175e-16 1.881446307785547556e-01 4.187188790139018124e-16
1.642789195216846129e-04 1.000000000000004441e+00 -6.681395887941921075e-18 1.939785030230841978e-01 2.048600004911360628e-16 1.881624780945009567e-01 4.591596200476111278e-16
1.873364215504230105e-04 1.000000000000004885e+00 3.829266547947240973e-17 1.939854744709714196e-01 2.620245600354342841e-16 1.881799335510866422e-01 4.932577783722802423e-16
2.103947016527772803e-04 1.000000000000005329e+00 7.465748397099403189e-17 1.939923286902742183e-01 3.808124605583773636e-16 1.881969816329032985e-01 8.017404014987183913e-16
2.334518955112861900e-04 1.000000000000005773e+00 1.304261332182171662e-17 1.939990650184871268e-01 3.777563656846838480e-16 1.882136252496143525e-01 8.310816227916073551e-16
2.565074098211198592e-04 1.000000000000006217e+00 -5.245929152230058290e-17 1.940056851641548119e-01 3.276560609204864916e-16 1.882298732603751024e-01 7.833021883028867816e-16
